Luxury Hotel for Sale in Nuwaraeliya,3000,Hotel,https://ikman.lk/en/ad/hc185-luxury-hotel-for-sale-in-nuwaraeliya-for-sale-nuwara-eliya,"Nuwara Eliya City,","Pussellawa, Nuwaraeliya",https://i.ikman-st.com/hc185-luxury-hotel-for-sale-in-nuwaraeliya-for-sale-nuwara-eliya/b5b9ad04-74c6-4678-b877-7121bd373cc3/142/107/cropped.jpg,120000000,Sale,Ikman.lk,2026-02-21
Commercial Building for Sale Hokandara Rd Pannipitiya,5000,Building,https://ikman.lk/en/ad/commercial-building-for-sale-hokandara-rd-pannipitiya-for-sale-colombo,"Pannipitiya,","1390/A Hokandara rd,Pannipitiya",https://i.ikman-st.com/commercial-building-for-sale-hokandara-rd-pannipitiya-for-sale-colombo/490dafde-41fb-4696-9243-92ba10485848/142/107/cropped.jpg,115000000,Sale,Ikman.lk,2026-02-21
Commercial Property in Wariyapola Town with 5 Perch land,1200,Shop,https://ikman.lk/en/ad/commercial-property-in-wariyapola-town-with-5-perch-land-for-sale-kurunegala,"Wariyapola,",Commercial Properties For Sale by LocationCommercial Properties For Sale in ColomboCommercial Properties For Sale in GampahaCommercial Properties For Sale in KalutaraCommercial Properties For Sale in KandyCommercial Properties For Sale in KurunegalaProperty for Sale in WariyapolaApartments for Sale in WariyapolaLand for Sale in WariyapolaHouses for Sale in WariyapolaCommercial Properties for Sale in WariyapolaNew Developments for Sale in WariyapolaProperty for Rent in WariyapolaApartment Rentals in WariyapolaHouse Rentals in WariyapolaCommercial Property Rentals in WariyapolaHoliday & Short-Term Rental in WariyapolaRoom & Annex Rentals in WariyapolaTrade ServicesBuilding - Construction in WariyapolaRoofing in WariyapolaPlumbing in WariyapolaFlooring in WariyapolaPainting - Plastering in Wariyapola,https://i.ikman-st.com/commercial-property-in-wariyapola-town-with-5-perch-land-for-sale-kurunegala/a17a7b80-af21-4522-966f-4fd9a60b4236/142/107/cropped.jpg,26000000,Sale,Ikman.lk,2026-02-21
Dehiwala/Attidiya Commercial Building on 21.5 Perches of Land for Sale,4000,Building,https://ikman.lk/en/ad/dehiwala-attidiya-commercial-building-on-215-perches-of-land-for-sale-for-sale-colombo-9,"Dehiwala,","Attidiya - Mirihana Main Road, Dehiwala",https://i.ikman-st.com/dehiwala-attidiya-commercial-building-on-215-perches-of-land-for-sale-for-sale-colombo-9/ebd0a279-b08b-461d-8a09-42f8dc5f2936/142/107/cropped.jpg,172000000,Sale,Ikman.lk,2026-02-21
The Gin River Collection | Superior ROI,735,Hotel,https://ikman.lk/en/ad/the-gin-river-collection-superior-roi-for-sale-galle,"Galle City,","Ginthota , Galle",https://i.ikman-st.com/the-gin-river-collection-superior-roi-for-sale-galle/f1006745-c42f-493e-b4bc-1b09dc14bbf1/142/107/cropped.jpg,29000000,Sale,Ikman.lk,2026-02-21
Kottawa - Town Area 25 Perch Prime Commercial Property for Sale,3000,Building,https://ikman.lk/en/ad/kottawa-town-area-25-perch-prime-commercial-property-for-sale-for-sale-colombo-12,"Kottawa,",Kottawa Town Area,https://i.ikman-st.com/kottawa-town-area-25-perch-prime-commercial-property-for-sale-for-sale-colombo-12/2240a319-e036-4d98-b68d-a17d6c97ddcc/142/107/cropped.jpg,150000000,Sale,Ikman.lk,2026-02-21
Colombo 09| 15 Perches of Commercial Land with a 04 Room House for Sale,2000,Building,https://ikman.lk/en/ad/colombo-09-15-perches-of-commercial-land-with-a-04-room-house-for-sale-for-sale-colombo-7,"Colombo 9,","Veluwana Road, Colombo 9",https://i.ikman-st.com/colombo-09-15-perches-of-commercial-land-with-a-04-room-house-for-sale-for-sale-colombo-7/c65ddcbd-1999-4d0d-88b3-82d8488606d7/142/107/cropped.jpg,52500000,Sale,Ikman.lk,2026-02-21
Secure High Returns: Gin River Luxury Estates,775,Hotel,https://ikman.lk/en/ad/secure-high-returns-gin-river-luxury-estates-for-sale-galle,"Galle City,","Ginthota , Galle",https://i.ikman-st.com/secure-high-returns-gin-river-luxury-estates-for-sale-galle/2ddf20f5-0e3a-4149-95d2-6eb4e8615aa7/142/107/cropped.jpg,29000000,Sale,Ikman.lk,2026-02-21
Sophisticated Living. Substantial Yield.,760,Hotel,https://ikman.lk/en/ad/sophisticated-living-substantial-yield-for-sale-galle,"Galle City,","Ginthota , Galle",https://i.ikman-st.com/sophisticated-living-substantial-yield-for-sale-galle/798a0a6c-34ff-4b01-a1bc-83a1133fa89f/142/107/cropped.jpg,29000000,Sale,Ikman.lk,2026-02-21
High-Growth Assets: Gin River Income Villas,760,Hotel,https://ikman.lk/en/ad/high-growth-assets-gin-river-income-villas-for-sale-galle,"Galle City,","Ginthota , Galle",https://i.ikman-st.com/high-growth-assets-gin-river-income-villas-for-sale-galle/d80e8fe2-fed5-4c7a-bf60-98ba44b43c47/142/107/cropped.jpg,29000000,Sale,Ikman.lk,2026-02-21
Premier Income Villas on the Gin River,780,Hotel,https://ikman.lk/en/ad/premier-income-villas-on-the-gin-river-for-sale-galle,"Galle City,","Ginthota , Galle",https://i.ikman-st.com/premier-income-villas-on-the-gin-river-for-sale-galle/56f55300-c106-44d3-abcd-f4e49a3a1824/142/107/cropped.jpg,29000000,Sale,Ikman.lk,2026-02-21
Exclusive Riverfront Villas: Optimized for Maximum Returns,760,Hotel,https://ikman.lk/en/ad/exclusive-riverfront-villas-optimized-for-maximum-returns-for-sale-galle,"Galle City,","Ginthota , Galle",https://i.ikman-st.com/exclusive-riverfront-villas-optimized-for-maximum-returns-for-sale-galle/f551512d-f123-474c-8b33-1ef09ec58280/142/107/cropped.jpg,29000000,Sale,Ikman.lk,2026-02-21
Gin River Luxury: Peak ROI Villas,695,Hotel,https://ikman.lk/en/ad/gin-river-luxury-peak-roi-villas-for-sale-galle,"Galle City,","Ginthota , Galle",https://i.ikman-st.com/gin-river-luxury-peak-roi-villas-for-sale-galle/04dc5644-1546-4eed-a61f-493954ef85c9/142/107/cropped.jpg,29000000,Sale,Ikman.lk,2026-02-21
"Office Space for Rent in Nawala Road, Colombo 05",1100,Office,https://ikman.lk/en/ad/office-space-for-rent-in-nawala-road-colombo-05-for-rent-colombo-31,"Colombo 5,","Narahenpita - Nawala Road, Colombo 05",https://i.ikman-st.com/office-space-for-rent-in-nawala-road-colombo-05-for-rent-colombo-31/7ccbb740-68b7-4e30-befc-dce77aa64a25/142/107/cropped.jpg,370000,Rent,Ikman.lk,2026-02-21
